timestamp,user,location,component,pid,content,eventid,label
1131567264,tbird-admin1,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682.0,data_thread() got not answer from any [Thunderbird_A5] datasource,E32,NORMAL
1715528952,-,webserver,nginx,1213.0,"198.51.100.7 - - [21/Jan/2025:10:25:30 +0000] ""POST /upload HTTP/1.1"" 200 4096",WEB,NORMAL
1727116804,user1,dn228,sshd,3589.0,Failed password for invalid user admin from 192.168.1.10 port 22 ssh2,AUTH,NORMAL
1131566586,tbird-sm1,src@tbird-sm1,ib_sm.x,24904.0,[ib_sm_sweep.c:1455]: No topology change,E6,NORMAL
1131567244,tbird-admin1,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682.0,data_thread() got not answer from any [Thunderbird_C8] datasource,E32,NORMAL
1728933584,-,webserver,nginx,2530.0,"203.0.113.5 - - [21/Jan/2025:10:24:20 +0000] ""GET /admin HTTP/1.1"" 404 128",WEB,NORMAL
1131567094,tbird-admin1,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682.0,data_thread() got not answer from any [Thunderbird_A1] datasource,E32,NORMAL
1719381169,admin,webserver,sshd,5180.0,Failed password for invalid user admin from 192.168.1.10 port 22 ssh2,AUTH,NORMAL
1707909745,-,webserver,nginx,2872.0,"192.168.1.10 - - [21/Jan/2025:10:22:11 +0000] ""POST /login HTTP/1.1"" 401 512",WEB,NORMAL
1729282842,unknown,app,app,6348.0,password change requested,ENG,NORMAL
1721863938,-,webserver,nginx,4085.0,"198.51.100.7 - - [21/Jan/2025:10:25:30 +0000] ""POST /upload HTTP/1.1"" 200 4096",WEB,NORMAL
1735091356,guest,app,scheduler,7211.0,multiple failed login attempts detected,ENG,NORMAL
1722600416,unknown,app,service,1870.0,configuration updated by admin,ENG,NORMAL
1708120371,admin,app,service,5667.0,file downloaded from suspicious domain,ENG,NORMAL
1131566603,tbird-admin1,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682.0,data_thread() got not answer from any [Thunderbird_D6] datasource,E32,NORMAL
1131567016,tbird-sm1,src@tbird-sm1,ib_sm.x,24904.0,[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************,E8,NORMAL
1131566857,tbird-admin1,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682.0,data_thread() got not answer from any [Thunderbird_A5] datasource,E32,NORMAL
1131567080,cn1000,cn1000/cn1000,ntpd,19233.0,"synchronized to 10.100.18.250, stratum 3",E125,NORMAL
1709571670,admin,dn73,sshd,5655.0,sudo: pam_unix(sudo:session): session opened for user root by user(uid=0),AUTH,NORMAL
1712672983,attacker,webserver,sshd,2290.0,Multiple failed logins from 192.168.1.100: possible brute force,ANOM,ANOMALY
1131567051,cn1011,cn1011/cn1011,ntpd,19603.0,"synchronized to 10.100.16.250, stratum 3",E125,NORMAL
1708331724,service,app,service,3349.0,multiple failed login attempts detected,ENG,NORMAL
1728908063,unknown,app,cron,6724.0,background job executed successfully,ENG,NORMAL
1718904689,-,webserver,nginx,3144.0,"192.168.1.10 - - [21/Jan/2025:10:22:11 +0000] ""POST /login HTTP/1.1"" 401 512",WEB,NORMAL
1731657210,-,webserver,nginx,4869.0,"198.51.100.7 - - [21/Jan/2025:10:25:30 +0000] ""POST /upload HTTP/1.1"" 200 4096",WEB,NORMAL
1713409181,root,dbserver,kernel,6269.0,Critical data corruption on block device,ANOM,ANOMALY
1711380189,root,dn228,sshd,1853.0,Failed password for invalid user admin from 192.168.1.10 port 22 ssh2,AUTH,NORMAL
1724657825,-,webserver,nginx,4542.0,"192.168.1.10 - - [21/Jan/2025:10:22:11 +0000] ""POST /login HTTP/1.1"" 401 512",WEB,NORMAL
1734313312,user1,dn73,sshd,295.0,session opened for user root by (uid=0),AUTH,NORMAL
1732108472,attacker,webserver,app,379.0,Critical data corruption on block device,ANOM,ANOMALY
1709853155,admin,app,service,8215.0,user login successful,ENG,NORMAL
1708450084,root,dbserver,sshd,8904.0,Remote code execution attempt on port 8080,ANOM,ANOMALY
1712752002,unknown,internet,postfix,2809.0,Multiple failed logins from 192.168.1.100: possible brute force,ANOM,ANOMALY
1727186224,guest,app,service,6903.0,suspicious activity observed for user john,ENG,NORMAL
1131566821,cn681,cn681/cn681,ntpd,18283.0,"synchronized to 10.100.18.250, stratum 3",E125,NORMAL
1131566596,bn430,bn430/bn430,ntpd,29622.0,"synchronized to 10.100.14.250, stratum 3",E125,NORMAL
1730621049,-,webserver,nginx,1851.0,"10.0.0.5 - - [21/Jan/2025:10:23:14 +0000] ""GET /api/data HTTP/1.1"" 200 2048",WEB,NORMAL
1713593882,-,webserver,nginx,3591.0,"198.51.100.7 - - [21/Jan/2025:10:25:30 +0000] ""POST /upload HTTP/1.1"" 200 4096",WEB,NORMAL
1706509388,admin,app,cron,6291.0,user logout completed,ENG,NORMAL
1728045690,admin,app,app,8535.0,user login successful,ENG,NORMAL
1713923166,-,webserver,nginx,3489.0,"203.0.113.5 - - [21/Jan/2025:10:24:20 +0000] ""GET /admin HTTP/1.1"" 404 128",WEB,NORMAL
1131567001,eadmin1,src@eadmin1,crond,4310.0,(root) CMD (/projects/tbird/temps/get_temps e),E2,NORMAL
1711233132,admin,dn228,sshd,3299.0,authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=192.168.1.10,AUTH,NORMAL
1131566769,tbird-admin1,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682.0,data_thread() got not answer from any [Thunderbird_A5] datasource,E32,NORMAL
1131566940,cn225,cn225/cn225,ntpd,10661.0,"synchronized to 10.100.20.250, stratum 3",E125,NORMAL
1131566525,aadmin4,src@aadmin4,dhcpd,,DHCPREQUEST for 10.100.4.251 (10.100.0.250) from 00:11:43:e3:ba:c3 via eth1: unknown lease 10.100.4.251.,E40,NORMAL
1131567146,tbird-sm1,src@tbird-sm1,ib_sm.x,24904.0,[ib_sm_sweep.c:1455]: No topology change,E6,NORMAL
1715033465,unknown,dmz,kernel,8033.0,Firewall breach attempt from 203.0.113.55,ANOM,ANOMALY
1710273901,user1,webserver,sshd,4591.0,Accepted password for user1 from 10.0.0.5 port 53422 ssh2,AUTH,NORMAL
1704308025,user1,dn3,sshd,1911.0,sudo: pam_unix(sudo:session): session opened for user root by user(uid=0),AUTH,NORMAL
1131566581,cn321,cn321/cn321,ntpd,23556.0,"synchronized to 10.100.16.250, stratum 3",E125,NORMAL
1728757936,root,dn3,sshd,5596.0,Accepted password for user1 from 10.0.0.5 port 53422 ssh2,AUTH,NORMAL
1704539509,unknown,app,cron,3982.0,password change requested,ENG,NORMAL
1131567156,dn678,dn678/dn678,ntpd,1567.0,"synchronized to 10.100.28.250, stratum 3",E125,NORMAL
1729854739,-,webserver,nginx,3288.0,"198.51.100.7 - - [21/Jan/2025:10:25:30 +0000] ""POST /upload HTTP/1.1"" 200 4096",WEB,NORMAL
1734146617,unknown,webserver,sshd,3624.0,Firewall breach attempt from 203.0.113.55,ANOM,ANOMALY
1710698486,admin,app,app,5782.0,user login successful,ENG,NORMAL
1131566979,cn665,cn665/cn665,ntpd,23982.0,"synchronized to 10.100.20.250, stratum 3",E125,NORMAL
1719018881,-,webserver,nginx,4524.0,"203.0.113.5 - - [21/Jan/2025:10:24:20 +0000] ""GET /admin HTTP/1.1"" 404 128",WEB,NORMAL
1721465790,-,webserver,nginx,4342.0,"198.51.100.7 - - [21/Jan/2025:10:25:30 +0000] ""POST /upload HTTP/1.1"" 200 4096",WEB,NORMAL
1714027342,-,webserver,nginx,4211.0,"203.0.113.5 - - [21/Jan/2025:10:24:20 +0000] ""GET /admin HTTP/1.1"" 404 128",WEB,NORMAL
1723578835,admin,app,cron,3631.0,password change requested,ENG,NORMAL
1733297836,guest,app,app,9998.0,background job executed successfully,ENG,NORMAL
1131567177,cn205,cn205/cn205,ntpd,20490.0,"synchronized to 10.100.16.250, stratum 3",E125,NORMAL
1131567043,tbird-admin1,local@tbird-admin1,portmap,,portmap startup succeeded,E89,NORMAL
1131567083,tbird-admin1,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682.0,data_thread() got not answer from any [Thunderbird_B8] datasource,E32,NORMAL
1131567060,tbird-admin1,local@tbird-admin1,xinetd,1798.0,Reading included configuration file: /etc/xinetd.d/time-udp [file=/etc/xinetd.d/time-udp] [line=17],E97,NORMAL
1719780733,admin,app,service,7902.0,suspicious activity observed for user john,ENG,NORMAL
1719425141,unknown,app,cron,4600.0,user login successful,ENG,NORMAL
1131566922,tbird-sm1,src@tbird-sm1,ib_sm.x,24904.0,[ib_sm_sweep.c:1482]: No configuration change required,E7,NORMAL
1729498374,-,webserver,nginx,3809.0,"127.0.0.1 - - [21/Jan/2025:10:21:03 +0000] ""GET /index.html HTTP/1.1"" 200 1024",WEB,NORMAL
1734097090,admin,dn228,sshd,4188.0,session opened for user root by (uid=0),AUTH,NORMAL
1131567052,tbird-admin1,local@tbird-admin1,netfs,,Mounting NFS filesystems: succeeded,E73,NORMAL
1706898397,service,app,app,8051.0,password change requested,ENG,NORMAL
1733782786,svc,dn3,sshd,3234.0,session opened for user root by (uid=0),AUTH,NORMAL
1712658512,service,app,app,4516.0,configuration updated by admin,ENG,NORMAL
1717956997,service,app,app,5694.0,background job executed successfully,ENG,NORMAL
1131566662,cn947,cn947/cn947,ntpd,19822.0,"synchronized to 10.100.20.250, stratum 3",E125,NORMAL
1131566723,tbird-admin1,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682.0,data_thread() got not answer from any [Thunderbird_B5] datasource,E32,NORMAL
1131566461,tbird-admin1,local@tbird-admin1,/apps/x86_64/system/ganglia-3.0.1/sbin/gmetad,1682.0,data_thread() got not answer from any [Thunderbird_B8] datasource,E32,NORMAL
1726223289,-,webserver,nginx,4617.0,"127.0.0.1 - - [21/Jan/2025:10:21:03 +0000] ""GET /index.html HTTP/1.1"" 200 1024",WEB,NORMAL
1728859808,guest,app,scheduler,3956.0,password change requested,ENG,NORMAL
1719967772,admin,app,cron,1365.0,configuration updated by admin,ENG,NORMAL
1131566461,en257,en257/en257,crond(pam_unix),8950.0,session closed for user root,E117,NORMAL
1131566462,#8#,#8#/#8#,crond(pam_unix),23469.0,session closed for user root,E117,NORMAL
